# GuessSync E36 «Guess the Fish» — image attributions (Wikimedia Commons)
# slug | name | author | license | url

sailfish | Sailfish | Benjamint444 | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Pacific-sailfish.jpg
electric-eel | Electric Eel | Steven G. Johnson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Electric-eel.jpg
parrotfish | Parrotfish | Julien Bidet | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Scarus_psittacus_(cropped).JPG
triggerfish | Triggerfish | Amada44 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Balistoides_conspicillum_2607.jpg
mandarinfish | Mandarinfish | Luc Viatour | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Synchiropus_splendidus_2_Luc_Viatour.jpg
ocean-sunfish | Ocean Sunfish | U.S. National Oceanic and Atmospheric Administration | Public domain | https://commons.wikimedia.org/wiki/File:Mola_mola.jpg
zebrafish | Zebrafish | Azul | Copyrighted free use | https://commons.wikimedia.org/wiki/File:Zebrafisch.jpg
discus | Discus | Patrick Farrelly | Public domain | https://commons.wikimedia.org/wiki/File:Blue_Discus.jpg
sawfish | Sawfish | J. Patrick Fischer | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:2009_Pristis_microdon1.JPG
reef-shark | Reef Shark | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Blacktip_reef_shark_(Carcharhinus_melanopterus)_Moorea.jpg
wels-catfish | Wels Catfish | Dieter Florian (To contact the author, ask the uploader or take a look at tauchshop-florian.de.) | CC BY-SA 3.0 de | https://commons.wikimedia.org/wiki/File:Silurus_glanis_02.jpg
arapaima | Arapaima | Shizhao | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Arapaima_gigas_at_Beijing_aquarium.JPG
mudskipper | Mudskipper | Bjørn Christian Tørrissen | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:GambianMudskippers.jpg
archerfish | Archerfish | Chrumps | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Toxotes_jaculatrix.jpg
napoleon-wrasse | Napoleon Wrasse | Julien Bidet for MDC Seamarc | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cheilinus_undulatus_Maldives.JPG
moorish-idol | Moorish Idol | Diego Delso | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%C3%8Ddolo_moro_(Zanclus_cornutus),_Anilao,_Filipinas,_2023-08-25,_DD_233.jpg
boxfish | Boxfish | portioid | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Ostracion_cubicum_400115646.jpg
cowfish | Cowfish | Fernando Losada Rodríguez | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Lactoria_cornuta.003_-_Aquarium_Finisterrae.JPG
scorpionfish | Scorpionfish | Dmitriy Konstantinov | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Scorpaena-porcus1.jpg
stonefish | Stonefish | Karelj | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Synanceia_verrucosa_Prague_2011_2.jpg
frogfish | Frogfish | iNaturalist.org (Dan Schofield) (Dan Schofield) | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Antennarius_maculatus_(Desjardins,_1840)_2283129219.jpg
wobbegong | Wobbegong | Rick Stuart-Smith / Reef Life Survey | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Orectolobus_maculatus_cod_ground.jpg
tigerfish | Tigerfish | Totti | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hydrocynus_vittatus_Gifu.jpg
alligator-gar | Alligator Gar | Greg Hume | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Alligator_Gar_10.JPG
bowfin | Bowfin | Zachary Randall | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Amia_calva.png
paddlefish | Paddlefish | U.S. Fish and Wildlife Service | Public domain | https://commons.wikimedia.org/wiki/File:Paddlefish-USFWS-Fish-and-Aquatic-Conservation-2160x1440.jpg
snakehead | Snakehead | Brian Gratwicke | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Snakehead_-_Channa_argus.jpg
bichir | Bichir | Mattia Nocciola | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Polypterus_senegalus_Natural_History_Museum_University_of_Pisa.jpg
lungfish | Lungfish | Mattia Nocciola | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Protopterus_annectens_Natural_History_Museum_University_of_Pisa.jpg
neon-tetra | Neon Tetra | Holger Krisp | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Neonsalmler_Paracheirodon_innesi.jpg
oscar | Oscar | Jón Helgi Jónsson (Amything) | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Astronotus_ocellatus.jpg
weedy-seadragon | Weedy Seadragon | Richard Ling &lt;wikipedia@rling.com&gt; --&gt;Rling | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Phyllopteryx_taeniolatus1.jpg
leafy-seadragon | Leafy Seadragon | James Rosindell | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Leafy_Seadragon_on_Kangaroo_Island.jpg
pipefish | Pipefish | Hans Hillewaert | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Syngnathus_acus.jpg
remora | Remora | Richard ling | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Echeneis_naucrates.jpg
coelacanth | Coelacanth | Bruce A.S. Henderson | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Coelacanth_off_Pumula_on_the_KwaZulu-Natal_South_Coast,_South_Africa,_on_22_November_2019.png
oarfish | Oarfish | Sandstein | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Regalecus_glesne,_Naturhistorisches_Museum_Wien.jpg
blobfish | Blobfish | NOAA/MBARI | Public domain | https://commons.wikimedia.org/wiki/File:Psychrolutes_phrictus_1.jpg
goblin-shark | Goblin Shark | Hungarian Snow | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Goblin_shark_snout.jpg
frilled-shark | Frilled Shark | This illustration was made by Citron You must credit this : Citron / CC-BY-SA-3.0 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chlamydoselachus_anguineus_head.jpg
viperfish | Viperfish | Edd48 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Messina_Straits_Chauliodus_sloani.jpg
fangtooth | Fangtooth | Sandra Raredon/Smithsonian Institution | Public domain | https://commons.wikimedia.org/wiki/File:Anoplogaster_cornuta_SI.jpg
hatchetfish | Marine Hatchetfish | SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC | Public domain | https://commons.wikimedia.org/wiki/File:ArgyropelecusAculeatus.jpg
barreleye | Barreleye | Unknown authorUnknown author | Public domain | https://commons.wikimedia.org/wiki/File:Barreleye-fish_GoK.jpg
pelican-eel | Pelican Eel | Sandra Raredon/Smithsonian Institution | Public domain | https://commons.wikimedia.org/wiki/File:Eurypharynx_pelecanoides_SI.jpg
dragonfish | Dragonfish | Rafael Bañón | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Malacosteus_niger_(black).jpg
lanternfish | Lanternfish | Edd48 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Messina_Straits_Myctophum_punctatum_(1).jpg
stargazer | Stargazer | Yuriy Kvach | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Uranoscopus.jpg
handfish | Handfish | Barry Bruce, CSIRO | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:CSIRO_ScienceImage_10_The_Endangered_Spotted_Handfish.jpg
sarcastic-fringehead | Sarcastic Fringehead | DarkNight0917 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Sarcastic_Fringehead_California_ScienCenter.jpg
sheepshead | Sheepshead | Photo by David J. Stang | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Archosargus_probatocephalus_2zz.jpg
pineapplefish | Pineapplefish | Hectonichus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Monocentridae_-_Cleidopus_gloriamaris.JPG
red-lipped-batfish | Red-lipped Batfish | Rein Ketelaars | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Red-lipped_Bat_fish.jpg
ratfish | Ratfish | Linda Snook / MBNMS | Public domain | https://commons.wikimedia.org/wiki/File:Hydrolagus_colliei.jpg
black-swallower | Black Swallower | HulloThere | CC0 | https://commons.wikimedia.org/wiki/File:Chiasmodon_niger_specimen.jpg
tripod-fish | Tripod Fish | null | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Campagne_BIOZAIRE_2_-_Poisson_tr%C3%A9pied_ou_poisson_tripode_(Ifremer_00574-68561)_1.jpg
grenadier | Grenadier | NOAA/MBARI | Public domain | https://commons.wikimedia.org/wiki/File:Coryphaenoides_acrolepis.jpg
pacu | Pacu | Omnitarian | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Pacu_shedd.jpg
wolffish | Wolffish | Bjørn Christian Tørrissen | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Anarhichas-lupus-Atlanterhavsparken.jpg
telescopefish | Telescopefish | Emőke Dénes | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Hal_-_Gigantura_chuni_-_2.jpg
