# «Guess the Flower» v2 (E-FLOWERS2) — image attributions (Wikimedia Commons, free licenses only)
# format: slug|title|author|license|url
dahlia|File:Dahlia pinnata–IMG 6396 03.jpg|Kızıl|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dahlia_pinnata%E2%80%93IMG_6396_03.jpg
poinsettia|File:Euphorbia pulcherrima flowers 2019.jpg|Gauravggs|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Euphorbia_pulcherrima_flowers_2019.jpg
jasmine|File:Jasminum officinale.JPG|B.traeger|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Jasminum_officinale.JPG
cornflower|File:CentaureaCyanus-bloem-kl.jpg|TeunSpaans|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:CentaureaCyanus-bloem-kl.jpg
black-eyed-susan|File:"Rudbeckia hirta" Black-eyed Susan Gibberd Garden Essex England (cropped).JPG|Acabashi|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:%22Rudbeckia_hirta%22_Black-eyed_Susan_Gibberd_Garden_Essex_England_(cropped).JPG
primrose|File:Primula vulgaris 'rubra' (Primevère rouge) - 15.jpg|Another one of my pictures: This photograph was taken by Medium69 (William Crochot) and released under the license stated below. You are free to use it for any purpose as long as you credit the author (William Crochot), the Source (Wikimedia Commons) and the license (CC-BY-SA 4.0) in close relation to the image. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source RAW. This ensures that the changes are preserved.Please if you think that any changes should be required, please inform the author.Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract.|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Primula_vulgaris_%27rubra%27_(Primev%C3%A8re_rouge)_-_15.jpg
snowdrop|File:Galanthus nivalis close-up aka.jpg|André Karwath aka Aka|CC BY-SA 2.5|https://commons.wikimedia.org/wiki/File:Galanthus_nivalis_close-up_aka.jpg
cyclamen|File:CyclamenPersicumMill20.jpg|Fanghong|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:CyclamenPersicumMill20.jpg
impatiens|File:Impatiens walleriana 01.JPG|Prenn|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Impatiens_walleriana_01.JPG
babys-breath|File:Gypsophila paniculata.jpg|PiPi|Public domain|https://commons.wikimedia.org/wiki/File:Gypsophila_paniculata.jpg
sweet-william|File:Dianthus barbatus 155538.jpg|Sabina Bajracharya|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dianthus_barbatus_155538.jpg
periwinkle|File:Vinca-minor-flower-JR-T20-0656-0690-2020-03-28.jpg|Johannes Robalotoff|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Vinca-minor-flower-JR-T20-0656-0690-2020-03-28.jpg
phlox|File:Phlox paniculata 'Fujiyama' (d.j.b.) 01.jpg|Dominicus Johannes Bergsma|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Phlox_paniculata_%27Fujiyama%27_(d.j.b.)_01.jpg
chamomile|File:Chamomile@original size.jpg|Fir0002 20D|GFDL 1.2|https://commons.wikimedia.org/wiki/File:Chamomile@original_size.jpg
honeysuckle|File:Lonicera periclymenum kz13.jpg|Krzysztof Ziarnek, Kenraiz|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lonicera_periclymenum_kz13.jpg
thistle|File:Cirsium vulgare - Keila2.jpg|Ivar Leidus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Cirsium_vulgare_-_Keila2.jpg
clover|File:Trifolium pratense - Keila.jpg|Ivar Leidus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Trifolium_pratense_-_Keila.jpg
anthurium|File:Anthurium (Flamingoplant) 12-08-2019 (actm) 01.jpg|Agnes Monkelbaan|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Anthurium_(Flamingoplant)_12-08-2019_(actm)_01.jpg
bellflower|File:Dalmatiner Polster-Glockenblume (Campanula portenschlagiana) Blüte Focus stack-20220528-RM-174230.jpg|Ermell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Dalmatiner_Polster-Glockenblume_(Campanula_portenschlagiana)_Bl%C3%BCte_Focus_stack-20220528-RM-174230.jpg
larkspur|File:Consolida ajacis bourdon.jpg|Pancrat|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Consolida_ajacis_bourdon.jpg
salvia|File:Salvia splendens (138872031).jpg|Alexandre Ultré|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Salvia_splendens_(138872031).jpg
moss-rose|File:Portulaca oleracea MHNT.jpg|Didier Descouens|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Portulaca_oleracea_MHNT.jpg
sweet-alyssum|File:Lobularia maritima Porto Covo 2022-1.jpg|Alvesgaspar|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lobularia_maritima_Porto_Covo_2022-1.jpg
lobelia|File:Lobelia erinus flower (01).jpg|Sylvain Kohli|CC BY-SA 2.0 fr|https://commons.wikimedia.org/wiki/File:Lobelia_erinus_flower_(01).jpg
four-oclock|File:Mirabilis jalapa (Belle-de-nuit) - 470.jpg|Another one of my pictures: This photograph was taken by Medium69 (William Crochot) and released under the license stated below. You are free to use it for any purpose as long as you credit the author (William Crochot), the Source (Wikimedia Commons) and the license (CC-BY-SA 4.0) in close relation to the image. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source RAW. This ensures that the changes are preserved.Please if you think that any changes should be required, please inform the author.Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract.|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Mirabilis_jalapa_(Belle-de-nuit)_-_470.jpg
oleander|File:Nerium oleander pink flower, Alex 005.jpg|لا روسا|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Nerium_oleander_pink_flower,_Alex_005.jpg
dogwood|File:Flowering Dogwood Cornus florida Flower Low DoF.JPG|Photo by and (c)2016 Derek Ramsey (Ram-Man)|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Flowering_Dogwood_Cornus_florida_Flower_Low_DoF.JPG
mimosa|File:Acacia dealbata flowers.jpg|Pavithra mallan|CC0|https://commons.wikimedia.org/wiki/File:Acacia_dealbata_flowers.jpg
bottlebrush|File:Callistemon citrinus 3588.jpg|Anna Anichkova|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Callistemon_citrinus_3588.jpg
yarrow|File:Achillea millefolium20130714 21.jpg|Bff|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Achillea_millefolium20130714_21.jpg
goldenrod|File:Solidago canadensis 20050815 248.jpg|Georg Slickers|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Solidago_canadensis_20050815_248.jpg
hellebore|File:Bloem van een kerstroos (Helleborus niger) 16-12-2021. (d.j.b) 02.jpg|Dominicus Johannes Bergsma|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Bloem_van_een_kerstroos_(Helleborus_niger)_16-12-2021._(d.j.b)_02.jpg
trillium|File:Trillium grandiflorum at Backus Woods.jpg|СССР|CC BY-SA 2.5 ca|https://commons.wikimedia.org/wiki/File:Trillium_grandiflorum_at_Backus_Woods.jpg
spirea|File:Red pink flowers.jpg|Allan Zieser|Public domain|https://commons.wikimedia.org/wiki/File:Red_pink_flowers.jpg
viburnum|File:Viburnum opulus flower, Guelder-rose with sterile flowers.jpg|Rosser1954|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Viburnum_opulus_flower,_Guelder-rose_with_sterile_flowers.jpg
mock-orange|File:(MHNT) Philadelphus coronarius flower with 'Lasius niger'.jpg|Didier Descouens|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:(MHNT)_Philadelphus_coronarius_flower_with_%27Lasius_niger%27.jpg
rock-rose|File:Cistus albidus FlowersCloseup DehesaBoyaldePuertollano.jpg|Javier martin|Public domain|https://commons.wikimedia.org/wiki/File:Cistus_albidus_FlowersCloseup_DehesaBoyaldePuertollano.jpg
evening-primrose|File:Oenothera rubricaulis 2014 G1.jpg|George Chernilevsky|Public domain|https://commons.wikimedia.org/wiki/File:Oenothera_rubricaulis_2014_G1.jpg
mallow|File:Close-up photographs of Malva sylvestris flowers.jpg|Krzysztof Golik|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Close-up_photographs_of_Malva_sylvestris_flowers.jpg
